variant,ndcg@10_test,ild@5_test,tuned_alpha_text,n_test_queries,notes
text_only (champion cosine),0.0395,0.5368,1.0,150,candidate pool restricted to items with posters
text+poster fusion (a=0.75),0.0565,0.5194,0.75,150,a*text+(1-a)*CLIP; a tuned on dev (150 q)
